,0
0,строен образ тор конечн групп пуст циклическ числ максимальн элемент прост тип так доказательств групп числ максимальн тор пуст элемент циклическ конечн тип так прост образ строен доказательств элемент максимальн групп тор пуст числ циклическ прост конечн так тип образ доказательств строен так групп пуст тор образ конечн максимальн элемент числ циклическ тип прост доказательств строен
1,инволюц элемент кажд  транзитивн групп подгрупп лемм абелев множеств услов люб сильн пуст элемент люб групп инволюц множеств абелев подгрупп лемм  услов кажд теорем пуст совершен абелев множеств элемент пуст инволюц сильн групп подгрупп лемм люб  услов транзитивн совершен элемент  теорем пуст совершен групп услов инволюц подгрупп лемм абелев множеств люб кажд
2,модел след теор структур удовлетворя существ элемент расширен предикат множеств шаг категоричн вычислим люб люб кажд вычислим элемент существ минимальн теор так определ множеств имеет представлен эквивалентн либ явля предикат удовлетворя модел свидетел маркеровск единствен существ шаг котор множеств пуст числ теор свойств пуст модел вычислим люб маркеровск предикат котор минимальн шаг так структур имеет теор
3,класс булев борелевск некотор операц   множеств люб терм вэдж иерарх пуст явля  борелевск булев последовательн множеств операц явля класс люб терм вэдж иерарх пуст   операц некотор пуст класс иерарх вэдж множеств люб терм борелевск булев  последовательн терм множеств последовательн некотор  операц  класс люб борелевск иерарх вэдж булев пуст
4,φ пример числ структур дан элемент класс явля вычислим существ пространств так сводим пол вершин атомн явля некотор конечн элемент такж определен пуст структур эквивалентн прост кажд пример конечн φ бесконечн степен кажд диаграмм пол пример существ пространств элемент цеп сводим котор класс вложен вычислим существ так числ линейн доказательств некотор язык цикл граф множеств элемент
5,решетк тождеств элемент имеет  степен пол групп подрешетк предложен   многообраз числ интерпретируем тип решетк предложен степен пол имеет множеств  чисел следств  многообраз   многообраз явля имеет числ степен чисел подрешетк решетк  элемент множеств  решетк   чисел тип изоморфн элемент  многообраз явля числ множеств групп интерпретируем
6,класс поэт случа пуст групп либ доказательств подгрупп автоморфизм элемент порожда явля φ порожда автоморфизм явля образ элемент свободн групп подгрупп φ класс сопряжен содерж либ автоморфизм образ групп эндоморфизм явля подгрупп φ следовательн элемент порожда класс либ пуст порожда групп φ пуст содерж следовательн подгрупп автоморфизм элемент явля либ случа образ
7,существ конечн некотор модел люб след семейств вычислим вложен лемм множеств дерев так бесконечн поддерев дерев высот след вычислим лемм так котор кажд доказательств модел существ люб конечн бесконечн свойств дерев вершин семейств пуст так конечн след поддерев вычислим люб существ явля вычислим люб размерн пуст кажд множеств дерев так существ явля бесконечн вершин поддерев конечн
8,формул класс логик сил случа множеств элементарн свойств кардинал некотор многообраз люб отношен случа конгруэнц полугрупп многообраз порядк бесконечн мест имеет втор люб множеств логик формул отношен пуст элемент совпада мест сил конгруэнц многообраз втор решетк множеств отношен люб формул некотор люб отношен свойств формул имеет кардинал эквивалентн многообраз множеств логик полугрупп пуст мест
9,подгрупп произвольн гомоморфизм групп абелев вытека квазимногообраз доминион решетк пуст явля циклическ люб множеств подгрупп доминион решетк пуст произвольн групп квазимногообраз абелев вытека множеств люб котор циклическ гомоморфизм квазимногообраз котор решетк гомоморфизм явля циклическ групп абелев доминион подгрупп люб произвольн пуст вытека решетк доминион квазимногообраз абелев групп произвольн пуст подгрупп явля вытека гомоморфизм циклическ множеств котор
